timestamp_iso,timestamp_unix,hour_of_day,day_of_week,soil_now,moisture_mean,moisture_delta,moisture_slope,dry_duration,temp_now,humidity_now,light_now,combined_stress,risk,anomaly,recovering,sequence,step_in_sequence,minutes_until_water
2026-01-01 11:40:00,1767267600,11,3,35.312,35.312,-2.016,0.0,0.0,26.334,48.107,969.28,0.406,0,0,0,147,0,10.0
2026-01-01 11:50:00,1767268200,11,3,30.753,33.033,-4.559,-4.559,0.167,29.042,53.029,958.833,0.466,1,0,0,147,1,0.0
2026-01-01 12:00:00,1767268800,12,3,27.072,31.046,-3.681,-4.12,0.333,28.057,56.065,981.47,0.467,1,0,0,147,2,0.0
2026-01-01 12:10:00,1767269400,12,3,24.262,29.35,-2.81,-3.684,0.5,28.88,53.075,914.056,0.52,1,0,0,147,3,0.0
2026-01-01 12:20:00,1767270000,12,3,20.835,25.731,-3.427,-3.306,0.667,28.206,50.335,949.229,0.553,2,0,0,147,4,0.0
2026-01-01 12:30:00,1767270600,12,3,17.042,22.303,-3.793,-3.343,0.833,29.393,52.067,868.471,0.588,2,0,0,147,5,0.0
2026-01-01 12:40:00,1767271200,12,3,14.265,19.101,-2.777,-3.332,1.0,28.486,53.447,935.778,0.599,2,0,0,147,6,0.0
2026-01-01 12:50:00,1767271800,12,3,11.31,15.863,-2.955,-3.175,1.167,25.561,45.075,950.463,0.618,2,0,0,147,7,0.0
2026-01-01 13:00:00,1767272400,13,3,8.98,12.9,-2.33,-2.687,1.333,29.002,64.005,979.498,0.621,1,0,0,147,8,0.0
2026-01-01 13:10:00,1767273000,13,3,6.353,10.227,-2.627,-2.637,1.5,26.622,57.099,809.315,0.593,1,0,0,147,9,0.0
2026-01-01 13:20:00,1767273600,13,3,5.0,7.911,-1.353,-2.103,1.667,26.977,52.518,928.819,0.66,1,0,0,147,10,0.0
2026-01-01 13:30:00,1767274200,13,3,5.0,6.333,0.0,-1.327,1.833,28.831,56.157,944.8,0.673,1,0,0,147,11,0.0
2026-01-01 13:40:00,1767274800,13,3,5.0,5.338,0.0,-0.451,2.0,26.698,54.91,971.301,0.643,1,0,0,147,12,0.0
2026-01-01 13:50:00,1767275400,13,3,5.0,5.0,0.0,0.0,2.167,29.696,52.745,874.962,0.697,1,0,0,147,13,0.0
2026-01-01 14:00:00,1767276000,14,3,5.0,5.0,0.0,0.0,2.333,29.72,50.809,885.282,0.71,1,0,0,147,14,0.0
2026-01-01 14:10:00,1767276600,14,3,5.0,5.0,0.0,0.0,2.5,26.28,54.925,832.394,0.617,1,0,0,147,15,0.0
2026-01-01 14:20:00,1767277200,14,3,5.0,5.0,0.0,0.0,2.667,23.74,51.303,700.125,0.555,1,0,0,147,16,0.0
2026-01-01 14:30:00,1767277800,14,3,5.0,5.0,0.0,0.0,2.833,24.869,53.583,894.308,0.618,1,0,0,147,17,0.0
2026-01-01 14:40:00,1767278400,14,3,5.0,5.0,0.0,0.0,3.0,27.162,64.402,807.071,0.599,1,0,0,147,18,0.0
2026-01-01 14:50:00,1767279000,14,3,5.0,5.0,0.0,0.0,3.167,26.029,60.234,895.648,0.605,1,0,0,147,19,0.0
2026-01-01 15:00:00,1767279600,15,3,5.0,5.0,0.0,0.0,3.333,25.971,46.33,687.478,0.613,1,0,0,147,20,0.0
2026-01-01 15:10:00,1767280200,15,3,5.0,5.0,0.0,0.0,3.5,24.134,60.311,676.659,0.511,1,0,0,147,21,0.0
2026-01-01 15:20:00,1767280800,15,3,5.0,5.0,0.0,0.0,3.667,24.415,53.812,714.56,0.558,1,0,0,147,22,0.0
2026-01-01 15:30:00,1767281400,15,3,5.0,5.0,0.0,0.0,3.833,21.888,49.966,617.02,0.507,1,0,0,147,23,0.0
2026-01-01 15:40:00,1767282000,15,3,5.0,5.0,0.0,0.0,4.0,28.008,64.864,720.767,0.589,1,0,0,147,24,0.0
2026-01-01 15:50:00,1767282600,15,3,5.0,5.0,0.0,0.0,4.167,26.799,61.712,673.653,0.555,1,0,0,147,25,0.0
2026-01-01 16:00:00,1767283200,16,3,5.0,5.0,0.0,0.0,4.333,22.592,58.255,479.601,0.438,1,0,0,147,26,0.0
2026-01-01 16:10:00,1767283800,16,3,5.0,5.0,0.0,0.0,4.5,24.929,63.35,371.974,0.438,1,0,0,147,27,0.0
2026-01-01 16:20:00,1767284400,16,3,5.0,5.0,0.0,0.0,4.667,22.067,70.046,617.542,0.46,1,0,0,147,28,0.0
2026-01-01 16:30:00,1767285000,16,3,5.0,5.0,0.0,0.0,4.833,23.921,64.046,630.618,0.495,1,0,0,147,29,0.0
2026-01-01 16:40:00,1767285600,16,3,5.0,5.0,0.0,0.0,5.0,22.941,61.645,570.016,0.461,1,0,0,147,30,0.0
2026-01-01 16:50:00,1767286200,16,3,5.0,5.0,0.0,0.0,5.167,25.742,55.751,438.352,0.491,1,0,0,147,31,0.0
2026-01-01 17:00:00,1767286800,17,3,5.0,5.0,0.0,0.0,5.333,19.215,71.912,391.323,0.361,1,0,0,147,32,0.0
2026-01-01 17:10:00,1767287400,17,3,5.0,5.0,0.0,0.0,5.5,19.086,67.436,282.499,0.33,1,0,0,147,33,0.0
2026-01-01 17:20:00,1767288000,17,3,5.0,5.0,0.0,0.0,5.667,21.556,74.375,221.524,0.338,1,0,0,147,34,0.0
2026-01-01 17:30:00,1767288600,17,3,5.0,5.0,0.0,0.0,5.833,23.018,65.318,355.482,0.401,1,0,0,147,35,0.0
2026-01-01 17:40:00,1767289200,17,3,5.0,5.0,0.0,0.0,6.0,19.728,71.483,276.081,0.328,1,0,0,147,36,0.0
2026-01-01 17:50:00,1767289800,17,3,5.0,5.0,0.0,0.0,6.167,22.512,60.389,155.943,0.348,1,0,0,147,37,0.0
2026-01-01 18:00:00,1767290400,18,3,5.0,5.0,0.0,0.0,6.333,18.966,74.151,243.076,0.319,1,0,0,147,38,0.0
2026-01-01 18:10:00,1767291000,18,3,5.973,5.243,0.973,0.324,6.5,19.6,75.559,144.262,0.298,0,0,0,147,39,0.0
2026-01-01 18:20:00,1767291600,18,3,5.0,5.243,-0.973,0.0,6.667,19.232,65.517,106.678,0.306,1,0,0,147,40,0.0
2026-01-01 18:30:00,1767292200,18,3,5.0,5.243,0.0,0.0,6.833,21.504,76.121,198.476,0.331,1,0,0,147,41,0.0
2026-01-01 18:40:00,1767292800,18,3,5.0,5.243,0.0,-0.324,7.0,20.908,69.146,81.816,0.321,1,0,0,147,42,0.0
2026-01-01 18:50:00,1767293400,18,3,5.0,5.0,0.0,0.0,7.167,24.234,69.353,103.254,0.377,1,0,0,147,43,0.0
2026-01-01 19:00:00,1767294000,19,3,5.0,5.0,0.0,0.0,7.333,18.664,80.01,107.174,0.306,1,0,0,147,44,0.0
2026-01-01 19:10:00,1767294600,19,3,5.0,5.0,0.0,0.0,7.5,16.804,73.352,108.808,0.306,0,0,0,147,45,0.0
2026-01-01 19:20:00,1767295200,19,3,5.258,5.065,0.258,0.086,7.667,19.462,78.292,195.032,0.304,1,0,0,147,46,0.0
2026-01-01 19:30:00,1767295800,19,3,5.0,5.065,-0.258,0.0,7.833,20.739,68.667,32.023,0.319,1,0,0,147,47,0.0
2026-01-01 19:40:00,1767296400,19,3,5.0,5.065,0.0,0.0,8.0,18.592,76.833,55.476,0.306,1,0,0,147,48,0.0
2026-01-01 19:50:00,1767297000,19,3,5.0,5.065,0.0,-0.086,8.167,19.965,70.141,74.602,0.306,1,0,0,147,49,0.0
2026-01-01 20:00:00,1767297600,20,3,5.0,5.0,0.0,0.0,8.333,15.091,76.244,20.0,0.306,1,0,0,147,50,0.0
2026-01-01 20:10:00,1767298200,20,3,5.0,5.0,0.0,0.0,8.5,19.761,69.713,51.227,0.306,1,0,0,147,51,0.0
2026-01-01 20:20:00,1767298800,20,3,5.069,5.017,0.069,0.023,8.667,22.46,76.302,22.433,0.347,1,0,0,147,52,0.0
2026-01-01 20:30:00,1767299400,20,3,5.0,5.017,-0.069,0.0,8.833,18.879,76.697,49.156,0.306,1,0,0,147,53,0.0
2026-01-01 20:40:00,1767300000,20,3,5.0,5.017,0.0,0.0,9.0,22.482,73.774,88.815,0.348,1,0,0,147,54,0.0
2026-01-01 20:50:00,1767300600,20,3,5.0,5.017,0.0,-0.023,9.167,18.852,64.683,179.452,0.306,1,0,0,147,55,0.0
2026-01-01 21:00:00,1767301200,21,3,5.0,5.0,0.0,0.0,9.333,18.991,81.607,161.409,0.306,1,0,0,147,56,0.0
2026-01-01 21:10:00,1767301800,21,3,5.0,5.0,0.0,0.0,9.5,18.333,71.389,89.041,0.306,1,0,0,147,57,0.0
2026-01-01 21:20:00,1767302400,21,3,5.0,5.0,0.0,0.0,9.667,22.02,75.805,43.798,0.34,1,0,0,147,58,0.0
2026-01-01 21:30:00,1767303000,21,3,5.466,5.116,0.466,0.155,9.833,20.64,81.527,126.58,0.313,0,0,0,147,59,0.0
2026-01-01 21:40:00,1767303600,21,3,5.0,5.116,-0.466,0.0,10.0,19.971,67.648,170.928,0.306,1,0,0,147,60,0.0
2026-01-01 21:50:00,1767304200,21,3,5.0,5.116,0.0,0.0,10.167,19.023,80.003,107.823,0.306,1,0,0,147,61,0.0
2026-01-01 22:00:00,1767304800,22,3,5.0,5.116,0.0,-0.155,10.333,22.992,78.348,20.0,0.356,1,0,0,147,62,0.0
2026-01-01 22:10:00,1767305400,22,3,5.0,5.0,0.0,0.0,10.5,21.549,74.79,64.123,0.332,1,0,0,147,63,0.0
2026-01-01 22:20:00,1767306000,22,3,5.0,5.0,0.0,0.0,10.667,21.01,79.456,143.859,0.323,1,0,0,147,64,0.0
2026-01-01 22:30:00,1767306600,22,3,5.0,5.0,0.0,0.0,10.833,18.705,77.348,176.255,0.306,1,0,0,147,65,0.0
2026-01-01 22:40:00,1767307200,22,3,5.0,5.0,0.0,0.0,11.0,18.702,65.688,56.769,0.306,1,0,0,147,66,0.0
2026-01-01 22:50:00,1767307800,22,3,5.0,5.0,0.0,0.0,11.167,22.528,75.609,41.027,0.348,1,0,0,147,67,0.0
2026-01-01 23:00:00,1767308400,23,3,5.609,5.152,0.609,0.203,11.333,17.448,63.953,57.2,0.301,1,0,0,147,68,0.0
2026-01-01 23:10:00,1767309000,23,3,5.571,5.295,-0.038,0.19,11.5,20.054,73.813,82.667,0.302,1,0,0,147,69,0.0
2026-01-01 23:20:00,1767309600,23,3,5.0,5.295,-0.571,0.0,11.667,18.188,78.114,83.824,0.306,1,0,0,147,70,0.0
2026-01-01 23:30:00,1767310200,23,3,5.16,5.335,0.16,-0.15,11.833,17.436,69.389,105.57,0.305,1,0,0,147,71,0.0
2026-01-01 23:40:00,1767310800,23,3,5.538,5.317,0.378,-0.011,12.0,18.491,73.4,111.698,0.302,1,0,0,147,72,0.0
2026-01-01 23:50:00,1767311400,23,3,5.301,5.25,-0.237,0.1,12.167,18.876,69.861,173.781,0.304,1,0,0,147,73,0.0
2026-01-02 00:00:00,1767312000,0,4,5.433,5.358,0.131,0.091,12.333,17.951,67.638,180.137,0.302,0,0,0,147,74,0.0
2026-01-02 00:10:00,1767312600,0,4,5.0,5.318,-0.433,-0.179,12.5,16.824,76.928,167.967,0.306,1,0,0,147,75,0.0
2026-01-02 00:20:00,1767313200,0,4,5.274,5.252,0.274,-0.009,12.667,19.594,77.63,20.0,0.304,0,0,0,147,76,0.0
2026-01-02 00:30:00,1767313800,0,4,5.0,5.177,-0.274,-0.144,12.833,19.304,80.352,143.17,0.306,1,0,0,147,77,0.0
2026-01-02 00:40:00,1767314400,0,4,5.0,5.069,0.0,0.0,13.0,20.653,66.937,20.0,0.317,1,0,0,147,78,0.0
2026-01-02 00:50:00,1767315000,0,4,5.0,5.069,0.0,-0.091,13.167,18.115,72.817,53.832,0.306,1,0,0,147,79,0.0
2026-01-02 01:00:00,1767315600,1,4,5.447,5.112,0.447,0.149,13.333,18.831,73.407,153.946,0.302,1,0,0,147,80,0.0
2026-01-02 01:10:00,1767316200,1,4,5.0,5.112,-0.447,0.0,13.5,17.965,71.702,20.0,0.306,1,0,0,147,81,0.0
2026-01-02 01:20:00,1767316800,1,4,5.0,5.112,0.0,0.0,13.667,16.721,71.896,23.749,0.306,1,0,0,147,82,0.0
2026-01-02 01:30:00,1767317400,1,4,5.0,5.112,0.0,-0.149,13.833,17.833,74.308,128.259,0.306,1,0,0,147,83,0.0
2026-01-02 01:40:00,1767318000,1,4,5.0,5.0,0.0,0.0,14.0,19.624,78.325,135.971,0.306,1,0,0,147,84,0.0
2026-01-02 01:50:00,1767318600,1,4,5.0,5.0,0.0,0.0,14.167,18.685,65.984,20.0,0.306,1,0,0,147,85,0.0
2026-01-02 02:00:00,1767319200,2,4,5.267,5.067,0.267,0.089,14.333,20.757,72.337,118.959,0.317,1,0,0,147,86,0.0
2026-01-02 02:10:00,1767319800,2,4,5.0,5.067,-0.267,0.0,14.5,18.123,68.176,57.48,0.306,0,0,0,147,87,0.0
2026-01-02 02:20:00,1767320400,2,4,5.209,5.119,0.209,0.07,14.667,19.971,68.062,77.677,0.304,1,0,0,147,88,0.0
2026-01-02 02:30:00,1767321000,2,4,5.0,5.119,-0.209,-0.089,14.833,22.459,73.86,22.197,0.347,0,0,0,147,89,0.0
2026-01-02 02:40:00,1767321600,2,4,5.0,5.052,0.0,0.0,15.0,17.949,59.626,20.0,0.308,1,0,0,147,90,0.0
2026-01-02 02:50:00,1767322200,2,4,5.197,5.102,0.197,-0.004,15.167,20.268,68.865,22.896,0.309,1,0,0,147,91,0.0
2026-01-02 03:00:00,1767322800,3,4,5.0,5.049,-0.197,0.0,15.333,19.267,73.122,193.109,0.306,1,0,0,147,92,0.0
2026-01-02 03:10:00,1767323400,3,4,5.0,5.049,0.0,0.0,15.5,18.633,71.232,20.0,0.306,1,0,0,147,93,0.0
2026-01-02 03:20:00,1767324000,3,4,5.0,5.049,0.0,-0.066,15.667,18.19,69.6,35.46,0.306,1,0,0,147,94,0.0
